# dn, free_energy
0.1  -0.964748    -0.505   -0.459748
0.21  -0.942382    -0.52205   -0.420332
0.22  -0.942001    -0.5242   -0.417801
0.23  -0.941902    -0.52645   -0.415452
0.24  -0.94209    -0.5288   -0.41329
0.25  -0.942567    -0.53125   -0.411317
0.26  -0.943334    -0.5338   -0.409534
0.27  -0.944394    -0.53645   -0.407944
0.28  -0.945751    -0.5392   -0.406551
0.29  -0.947406    -0.54205   -0.405356
0.3  -0.949365    -0.545   -0.404365
0.31  -0.951674    -0.54805   -0.403624
0.32  -0.95438    -0.5512   -0.40318
0.33  -0.957483    -0.55445   -0.403033
0.34  -0.960982    -0.5578   -0.403182
0.35  -0.964876    -0.56125   -0.403626
0.36  -0.969167    -0.5648   -0.404367
0.37  -0.973851    -0.56845   -0.405401
0.38  -0.978931    -0.5722   -0.406731
0.39  -0.984405    -0.57605   -0.408355
0.4  -0.990273    -0.58   -0.410273
0.41  -0.996535    -0.58405   -0.412485
0.42  -1.00319    -0.5882   -0.414991
0.43  -1.01024    -0.59245   -0.417791
0.44  -1.01768    -0.5968   -0.420884
0.45  -1.02552    -0.60125   -0.424271
0.46  -1.03375    -0.6058   -0.427951
0.47  -1.04237    -0.61045   -0.431924
0.48  -1.05139    -0.6152   -0.436191
0.49  -1.0608    -0.62005   -0.440752
0.5  -1.07061    -0.625   -0.445605
0.51  -1.0808    -0.63005   -0.450752
0.52  -1.09139    -0.6352   -0.456191
0.53  -1.10237    -0.64045   -0.461924
0.54  -1.11375    -0.6458   -0.467951
0.55  -1.12552    -0.65125   -0.474271
0.56  -1.13768    -0.6568   -0.480884
0.57  -1.15024    -0.66245   -0.487791
0.58  -1.16319    -0.6682   -0.494991
0.59  -1.17653    -0.67405   -0.502485
0.6  -1.19027    -0.68   -0.510273
0.61  -1.2044    -0.68605   -0.518355
0.62  -1.21893    -0.6922   -0.526731
0.63  -1.23385    -0.69845   -0.535401
0.64  -1.24917    -0.7048   -0.544367
0.65  -1.26488    -0.71125   -0.553626
0.66  -1.28098    -0.7178   -0.563182
0.67  -1.29748    -0.72445   -0.573033
0.68  -1.31438    -0.7312   -0.58318
0.69  -1.33167    -0.73805   -0.593624
0.7  -1.34936    -0.745   -0.604365
