#U,mu,nAu,nAd,nBu,nBd,mz,dn,mf,ntot
0.6 0.3 0.246449907079 0.246449907079 0.753550092918 0.753550092918 0.0 0.507100185839 0.0 2.0
0.8 0.4 0.26430314785 0.26430314785 0.735696852067 0.735696852067 0.0 0.471393704217 0.0 1.99999999983
1.0 0.5 0.282672532843 0.282672532843 0.717327467031 0.717327467031 0.0 0.434654934187 0.0 1.99999999975
1.2 0.6 0.300998542981 0.300998542981 0.699001456615 0.699001456615 0.0 0.398002913634 0.0 1.99999999919
1.4 0.7 0.319352741591 0.319352741591 0.680647256094 0.680647256094 0.0 0.361294514503 0.0 1.99999999537
1.6 0.8 0.337248494796 0.337248494796 0.662751494856 0.662751494856 0.0 0.325503000061 0.0 1.9999999793
1.8 0.9 0.354665100611 0.354665100611 0.645334829951 0.645334829951 0.0 0.290669729341 0.0 1.99999986112
2.0 1.0 0.37154983194 0.37154983194 0.628449656158 0.628449656158 0.0 0.256899824218 0.0 1.9999989762
2.2 1.1 0.387914917325 0.387914917325 0.612081590198 0.612081590198 0.0 0.224166672873 0.0 1.99999301505
2.4 1.2 0.403887810798 0.403887810798 0.59611014585 0.59611014585 0.0 0.192222335052 0.0 1.99999591329
2.6 1.3 0.419822861328 0.419822861328 0.580172912811 0.580172912811 0.0 0.160350051483 0.0 1.99999154828
2.7 1.35 0.42799341732 0.42799341732 0.571999821577 0.571999821577 0.0 0.144006404256 0.0 1.99998647779
2.75 1.375 0.432202194569 0.432202194569 0.567794974722 0.567794974722 0.0 0.135592780154 0.0 1.99999433858

