# U,mu,nA_up, nA_dn, nB_up, nB_dn, ms, mf, ntotal,mu,cint,dnA_up, dnA_dn, dnB_up, dnB_dn,loop
0.1  0.379486   0.203898	0.203898	0.79606	0.79606	0	0	1.99992   0.379486	0	2.14408e-10	2.14408e-10	8.35354e-10	8.35354e-10	304
0.2  0.457517   0.211749	0.211749	0.788209	0.788209	0	0	1.99992   0.457517	0	3.59494e-10	3.59494e-10	6.90268e-10	6.90268e-10	315
0.3  0.534004   0.219587	0.219587	0.780371	0.780371	0	0	1.99992   0.534004	0	2.23831e-10	2.23831e-10	3.01051e-10	3.01051e-10	326
0.4  0.60048   0.22996	0.22996	0.770002	0.770002	0	0	1.99992   0.60048	0	4.28455e-10	4.28455e-10	3.79061e-10	3.79061e-10	215
0.5  0.651689   0.24376	0.24376	0.756202	0.756202	0	0	1.99992   0.651689	0	5.14814e-10	5.14814e-10	5.34947e-10	5.34947e-10	183
0.6  0.702843   0.256211	0.256211	0.743743	0.743743	0	0	1.99991   0.702843	0	5.2735e-10	5.2735e-10	5.2241e-10	5.2241e-10	205
0.7  0.753748   0.267512	0.267512	0.732442	0.732442	0	0	1.99991   0.753748	0	5.24447e-10	5.24447e-10	5.2532e-10	5.2532e-10	194
0.8  0.804537   0.277809	0.277809	0.722153	0.722153	0	0	1.99992   0.804537	0	5.24839e-10	5.24839e-10	5.24924e-10	5.24924e-10	205
0.9  0.855291   0.287277	0.287277	0.712685	0.712685	0	0	1.99992   0.855291	0	5.24881e-10	5.24881e-10	5.24878e-10	5.24878e-10	216
1  0.905824   0.295941	0.295941	0.704013	0.704013	0	0	1.99991   0.905824	0	6.46006e-10	6.46006e-10	6.46006e-10	6.46006e-10	216
1.1  0.956455   0.303931	0.303931	0.696072	0.696072	0	0	2.00001   0.956455	0	6.26627e-09	6.26627e-09	7.11508e-06	7.11508e-06	2000
1.2  1.00693   0.311346	0.311346	0.688659	0.688659	0	0	2.00001   1.00693	0	2.39089e-07	2.39089e-07	4.60464e-06	4.60464e-06	2000
1.3  1.05725   0.318196	0.318196	0.681804	0.681804	0	0	2   1.05725	0	1.03833e-05	1.03833e-05	2.09104e-07	2.09104e-07	2000
